R_version	name	version	date_time	hash	binary_location
4.3.0	rcmdcheck	1.4.0	2023-06-02T18:59:03Z	bc480ecf67810470905216df684cc3ad	/cloud/project/ds_2023/r_4_2_cache/library/rcmdcheck/1.4.0/bc480ecf67810470905216df684cc3ad/rcmdcheck
4.3.0	readr	2.1.4	2023-06-02T18:59:04Z	8756894501ebba572593570c2baa4861	/cloud/project/ds_2023/r_4_2_cache/library/readr/2.1.4/8756894501ebba572593570c2baa4861/readr
4.3.0	readxl	1.4.2	2023-06-05T17:11:58Z	f3ac3a542b7d6c4f67b90e517a8d1743	/cloud/project/ds_2023/r_4_2_cache/library/readxl/1.4.2/f3ac3a542b7d6c4f67b90e517a8d1743/readxl
4.3.0	rematch	1.0.1	2023-06-05T17:11:58Z	e7c23605c0968576f15ecc71eafe8383	/cloud/project/ds_2023/r_4_2_cache/library/rematch/1.0.1/e7c23605c0968576f15ecc71eafe8383/rematch
4.3.0	rematch2	2.1.2	2023-06-02T18:59:04Z	dc6c4044e30a47dddd7b87ca31ba3699	/cloud/project/ds_2023/r_4_2_cache/library/rematch2/2.1.2/dc6c4044e30a47dddd7b87ca31ba3699/rematch2
4.3.0	remotes	2.4.2	2023-06-02T18:59:04Z	3367163707d7dbba7665c5a647784fe9	/cloud/project/ds_2023/r_4_2_cache/library/remotes/2.4.2/3367163707d7dbba7665c5a647784fe9/remotes
4.3.0	renv	0.17.3	2023-06-02T18:59:04Z	7136bfdd870fed83d8b0cb89ebc5cb0a	/cloud/project/ds_2023/r_4_2_cache/library/renv/0.17.3/7136bfdd870fed83d8b0cb89ebc5cb0a/renv
4.3.0	reprex	2.0.2	2023-06-05T17:11:59Z	904fce05afff2a98e6eab2493cf68e85	/cloud/project/ds_2023/r_4_2_cache/library/reprex/2.0.2/904fce05afff2a98e6eab2493cf68e85/reprex
4.3.0	rjson	0.2.21	2023-06-02T18:59:04Z	9ba2a4a0fd2148f1de42170fe0e93331	/cloud/project/ds_2023/r_4_2_cache/library/rjson/0.2.21/9ba2a4a0fd2148f1de42170fe0e93331/rjson
4.3.0	rlang	1.1.1	2023-06-02T18:59:04Z	e8d1d1373b11846da912106d917fbcd5	/cloud/project/ds_2023/r_4_2_cache/library/rlang/1.1.1/e8d1d1373b11846da912106d917fbcd5/rlang
4.3.0	rmarkdown	2.22	2023-06-02T18:59:04Z	0ef07f998790825a9b0eed3696fb60d7	/cloud/project/ds_2023/r_4_2_cache/library/rmarkdown/2.22/0ef07f998790825a9b0eed3696fb60d7/rmarkdown
4.3.0	roxygen2	7.2.3	2023-06-02T18:59:05Z	80acde3978a05ab69e8235682164d45b	/cloud/project/ds_2023/r_4_2_cache/library/roxygen2/7.2.3/80acde3978a05ab69e8235682164d45b/roxygen2
4.3.0	rpart	4.1.19	2023-06-02T18:59:05Z	54c8200837acc4987e71b3f776ddb950	/cloud/project/ds_2023/r_4_2_cache/library/rpart/4.1.19/54c8200837acc4987e71b3f776ddb950/rpart
4.3.0	rprojroot	2.0.3	2023-06-02T18:59:05Z	86eadb65c8f4d2838f8c140abd3e3fe0	/cloud/project/ds_2023/r_4_2_cache/library/rprojroot/2.0.3/86eadb65c8f4d2838f8c140abd3e3fe0/rprojroot
4.3.0	rstudioapi	0.14	2023-06-02T18:59:05Z	888dbcf91ccc5b07e6ca4be87cb11dd2	/cloud/project/ds_2023/r_4_2_cache/library/rstudioapi/0.14/888dbcf91ccc5b07e6ca4be87cb11dd2/rstudioapi
4.3.0	rversions	2.1.2	2023-06-02T18:59:06Z	fd602888614ab1f97e9e95368fd2c3ed	/cloud/project/ds_2023/r_4_2_cache/library/rversions/2.1.2/fd602888614ab1f97e9e95368fd2c3ed/rversions
4.3.0	rvest	1.0.3	2023-06-05T17:12:00Z	f428eee9eef1763595a9fd823bd76ec7	/cloud/project/ds_2023/r_4_2_cache/library/rvest/1.0.3/f428eee9eef1763595a9fd823bd76ec7/rvest
4.3.0	sass	0.4.6	2023-06-02T18:59:06Z	4c8aa7e615f8de07127f49885e492b4b	/cloud/project/ds_2023/r_4_2_cache/library/sass/0.4.6/4c8aa7e615f8de07127f49885e492b4b/sass
4.3.0	scales	1.2.1	2023-06-05T17:12:00Z	3577dd932f21816fdddabce8816fd91a	/cloud/project/ds_2023/r_4_2_cache/library/scales/1.2.1/3577dd932f21816fdddabce8816fd91a/scales
4.3.0	selectr	0.4.2	2023-06-05T17:12:01Z	8ab91a8affca9696c10e93484c5806dd	/cloud/project/ds_2023/r_4_2_cache/library/selectr/0.4-2/8ab91a8affca9696c10e93484c5806dd/selectr
4.3.0	sessioninfo	1.2.2	2023-06-02T18:59:06Z	a09e6ed7aab5b8494549c4d3a18cf7cc	/cloud/project/ds_2023/r_4_2_cache/library/sessioninfo/1.2.2/a09e6ed7aab5b8494549c4d3a18cf7cc/sessioninfo
4.3.0	shiny	1.7.4	2023-06-02T18:59:07Z	3d14f90122e1bed070f13460c2a19d02	/cloud/project/ds_2023/r_4_2_cache/library/shiny/1.7.4/3d14f90122e1bed070f13460c2a19d02/shiny
4.3.0	sourcetools	0.1.7.1	2023-06-02T18:59:07Z	8ae5e22c516ddbd7860d8f4db64a29c2	/cloud/project/ds_2023/r_4_2_cache/library/sourcetools/0.1.7-1/8ae5e22c516ddbd7860d8f4db64a29c2/sourcetools
4.3.0	spatial	7.3.16	2023-06-02T18:59:07Z	bce8c48d3219729cb6510040068d358f	/cloud/project/ds_2023/r_4_2_cache/library/spatial/7.3-16/bce8c48d3219729cb6510040068d358f/spatial
4.3.0	splines	4.3.0	2023-06-02T18:59:08Z	165e3709fc0a3b77854df0a07030bdbd	/cloud/project/ds_2023/r_4_2_cache/library/splines/4.3.0/165e3709fc0a3b77854df0a07030bdbd/splines
