name	hashes	dependencies
credentials	c9802447c7b5c7a22e56c5a42c4de949	sys
credentials	c9802447c7b5c7a22e56c5a42c4de949	curl
credentials	c9802447c7b5c7a22e56c5a42c4de949	jsonlite
credentials	c9802447c7b5c7a22e56c5a42c4de949	askpass
desc	21c49616db836eec8f736f9ea8f03afb	cli
desc	21c49616db836eec8f736f9ea8f03afb	R6
desc	21c49616db836eec8f736f9ea8f03afb	rprojroot
desc	21c49616db836eec8f736f9ea8f03afb	utils
devtools	d186787e0093ad962a0d9266aab35db2	cli
devtools	d186787e0093ad962a0d9266aab35db2	desc
devtools	d186787e0093ad962a0d9266aab35db2	ellipsis
devtools	d186787e0093ad962a0d9266aab35db2	fs
devtools	d186787e0093ad962a0d9266aab35db2	lifecycle
devtools	d186787e0093ad962a0d9266aab35db2	memoise
devtools	d186787e0093ad962a0d9266aab35db2	miniUI
devtools	d186787e0093ad962a0d9266aab35db2	pkgbuild
devtools	d186787e0093ad962a0d9266aab35db2	pkgdown
devtools	d186787e0093ad962a0d9266aab35db2	pkgload
devtools	d186787e0093ad962a0d9266aab35db2	profvis
devtools	d186787e0093ad962a0d9266aab35db2	rcmdcheck
devtools	d186787e0093ad962a0d9266aab35db2	remotes
devtools	d186787e0093ad962a0d9266aab35db2	rlang
devtools	d186787e0093ad962a0d9266aab35db2	roxygen2
devtools	d186787e0093ad962a0d9266aab35db2	rversions
devtools	d186787e0093ad962a0d9266aab35db2	sessioninfo
devtools	d186787e0093ad962a0d9266aab35db2	stats
devtools	d186787e0093ad962a0d9266aab35db2	testthat
devtools	d186787e0093ad962a0d9266aab35db2	tools
devtools	d186787e0093ad962a0d9266aab35db2	urlchecker
devtools	d186787e0093ad962a0d9266aab35db2	utils
devtools	d186787e0093ad962a0d9266aab35db2	withr
devtools	d186787e0093ad962a0d9266aab35db2	usethis
diffobj	e8910c3a639bf17998ab634dd9da3c42	crayon
diffobj	e8910c3a639bf17998ab634dd9da3c42	tools
diffobj	e8910c3a639bf17998ab634dd9da3c42	methods
diffobj	e8910c3a639bf17998ab634dd9da3c42	utils
diffobj	e8910c3a639bf17998ab634dd9da3c42	stats
digest	05548e6aceb7b72574d47aabf48179a6	utils
downlit	a0152a0225e05e5ccee6841422845c86	brio
downlit	a0152a0225e05e5ccee6841422845c86	desc
downlit	a0152a0225e05e5ccee6841422845c86	digest
downlit	a0152a0225e05e5ccee6841422845c86	evaluate
downlit	a0152a0225e05e5ccee6841422845c86	fansi
downlit	a0152a0225e05e5ccee6841422845c86	memoise
downlit	a0152a0225e05e5ccee6841422845c86	rlang
downlit	a0152a0225e05e5ccee6841422845c86	vctrs
downlit	a0152a0225e05e5ccee6841422845c86	withr
downlit	a0152a0225e05e5ccee6841422845c86	yaml
dplyr	1f4b8f05b86ac6834b6d1fff84c823f4	cli
dplyr	1f4b8f05b86ac6834b6d1fff84c823f4	generics
dplyr	1f4b8f05b86ac6834b6d1fff84c823f4	glue
dplyr	1f4b8f05b86ac6834b6d1fff84c823f4	lifecycle
dplyr	1f4b8f05b86ac6834b6d1fff84c823f4	magrittr
dplyr	1f4b8f05b86ac6834b6d1fff84c823f4	methods
dplyr	1f4b8f05b86ac6834b6d1fff84c823f4	pillar
dplyr	1f4b8f05b86ac6834b6d1fff84c823f4	R6
dplyr	1f4b8f05b86ac6834b6d1fff84c823f4	rlang
dplyr	1f4b8f05b86ac6834b6d1fff84c823f4	tibble
dplyr	1f4b8f05b86ac6834b6d1fff84c823f4	tidyselect
